epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate
1,2.329859443836742,0.3667534722222222,2.021384207825912,0.6058519793459552,0.001
2,2.0595184531476765,0.5616319444444444,2.002942731505946,0.6402753872633391,0.001
3,2.0095586760176554,0.5954861111111112,2.018108035388746,0.6041308089500861,0.0014
4,1.9729362395074632,0.6223958333333334,1.9584170015234696,0.6609294320137694,0.0018
5,1.934678938653734,0.6341145833333334,1.939331198993482,0.6746987951807228,0.0022
6,1.905169803235266,0.6644965277777778,1.9820964273653532,0.6265060240963856,0.0026
7,1.894006104932891,0.6684027777777778,2.0283215736088,0.612736660929432,0.003
8,1.8832115713093016,0.6905381944444444,2.000626331881473,0.6316695352839932,0.0034000000000000002
9,1.8543159713347752,0.6961805555555556,1.8694882957558883,0.7142857142857143,0.0038
10,1.8637862222062216,0.6922743055555556,1.8961147132672762,0.6867469879518072,0.004200000000000001
11,1.8452648835049734,0.7048611111111112,1.917179590777347,0.6471600688468159,0.0046
12,1.8340350621276431,0.7092013888888888,1.894879987365321,0.7022375215146299,0.0048776412907378846
13,1.8058311425977283,0.7309027777777778,1.8432460082204718,0.7194492254733219,0.004852201922385564
14,1.8108967658546236,0.7287326388888888,1.8324627374347888,0.7349397590361446,0.004824441214720628
15,1.7759372575415506,0.7504340277777778,1.8683709596332752,0.7211703958691911,0.0047943865642099525
16,1.7719461967547734,0.7578125,1.7705506964733726,0.7573149741824441,0.004762067631165049
17,1.7571551965342627,0.7699652777777778,1.7939178002508063,0.7676419965576592,0.00472751631047092
18,1.7551004423035517,0.7660590277777778,1.7693349750418412,0.7728055077452668,0.0046907667001096585
19,1.764652709166209,0.7586805555555556,1.9036346799448918,0.6712564543889845,0.0046518550675098596
20,1.7380863693025377,0.7860243055555556,1.7793963457408704,0.7349397590361446,0.004610819813755038
21,1.7338134000698726,0.7782118055555556,1.7920231505444175,0.7314974182444062,0.004567701435686404
22,1.7106341355376773,0.7864583333333334,1.7598283667313426,0.7865748709122203,0.0045225424859373685
23,1.7254550688796573,0.7868923611111112,1.7937889663796676,0.76592082616179,0.004475387530939226
24,1.7035372753938038,0.8033854166666666,1.7519507345400358,0.7796901893287436,0.004426283106939473
25,1.7066662079758115,0.796875,1.7808797986883866,0.7779690189328744,0.004375277674076149
26,1.7146108746528625,0.7855902777777778,1.7797350318808305,0.7676419965576592,0.004322421568553529
27,1.6981704980134964,0.8003472222222222,1.7616404044000726,0.7521514629948365,0.004267766952966369
28,1.6898129483064015,0.7981770833333334,1.7660389511208785,0.7710843373493976,0.004211367764821722
29,1.6925571544302835,0.8159722222222222,1.8225052670428628,0.7452667814113597,0.00415327966330913
30,1.678418873084916,0.8172743055555556,1.7560330503865291,0.7590361445783133,0.004093559974371724
31,1.6841685440805223,0.8142361111111112,1.7507462877976268,0.7865748709122203,0.004032267634132442
32,1.687132144967715,0.8133680555555556,1.7230885530772961,0.76592082616179,0.003969463130731183
33,1.6806223723623488,0.8216145833333334,1.7655035194597746,0.7607573149741824,0.003905208444630327
34,1.6612994819879532,0.8307291666666666,1.8019382639935142,0.7418244406196214,0.0038395669874474914
35,1.661323842075136,0.83203125,1.7400810028377331,0.7848537005163512,0.0037726035393759283
36,1.6809333496623569,0.8151041666666666,1.7270167752316123,0.7676419965576592,0.0037043841852542883
37,1.6583160161972046,0.828125,1.7354493517624705,0.7917383820998278,0.003634976249348867
38,1.6581950436035793,0.8359375,1.764911231241728,0.7779690189328744,0.003564448228912682
39,1.6514723383718066,0.8263888888888888,1.7145781705254002,0.8003442340791739,0.003492869726586951
40,1.6429648995399475,0.8389756944444444,1.748041974870782,0.76592082616179,0.0034203113817116953
41,1.6463700814379587,0.8381076388888888,1.7139161887921786,0.7882960413080895,0.0033468448006132292
42,1.6264621019363403,0.8572048611111112,1.7491550508298372,0.7900172117039587,0.0032725424859373687
43,1.6321005821228027,0.8433159722222222,1.674567417094582,0.8261617900172117,0.0031974777650980737
44,1.6244314710299175,0.8559027777777778,1.7236738330439518,0.7969018932874354,0.0031217247179121366
45,1.6133937372101679,0.8641493055555556,1.724098607113487,0.774526678141136,0.0030453581034913567
46,1.6203487747245364,0.8498263888888888,1.7456179418061908,0.7969018932874354,0.002968453286464312
47,1.6139020439651277,0.8615451388888888,1.6795071677157754,0.8141135972461274,0.0028910861626005773
48,1.609531119465828,0.8628472222222222,1.7146768256237632,0.7934595524956971,0.002813333083910761
49,1.6082018150223627,0.8641493055555556,1.6961544124703658,0.8192771084337349,0.002735270783296286
50,1.5949751370482974,0.8728298611111112,1.722627457819487,0.8089500860585198,0.0026569762988232835
51,1.6067558841572867,0.8658854166666666,1.715064199347245,0.8209982788296041,0.0025785268976953207
52,1.5901994208494823,0.8741319444444444,1.6706769278174953,0.8296041308089501,0.0025
