epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,2.8686318149169288,0.06770833333333333,2.742879188977755,0.08261617900172118
2,2.7754695365826287,0.09244791666666667,2.6937959652680616,0.10154905335628227
3,2.687368387977282,0.1150173611111111,2.5916368777935324,0.11187607573149742
4,2.608168681462606,0.1267361111111111,2.5360413239552426,0.21858864027538727
5,2.593097979823748,0.14539930555555555,2.429367808195261,0.2547332185886403
6,2.582745313644409,0.15147569444444445,2.452542543411255,0.24268502581755594
7,2.5834714273611703,0.16276041666666666,2.4137753064815817,0.24784853700516352
8,2.5350351333618164,0.17881944444444445,2.475673693877,0.17728055077452667
9,2.499249761303266,0.17317708333333334,2.42786666063162,0.25645438898450945
10,2.5157707581917443,0.1796875,2.3457257747650146,0.270223752151463
11,2.447707782189051,0.2209201388888889,2.4711007521702695,0.19793459552495696
12,2.4225678394238153,0.2339409722222222,2.1892774930367103,0.387263339070568
13,2.3717745194832482,0.2565104166666667,2.3827731609344482,0.22547332185886404
14,2.3886903623739877,0.2456597222222222,2.2093905944090624,0.35800344234079173
15,2.390821263194084,0.2530381944444444,2.284040616108821,0.31841652323580033
16,2.3043748438358307,0.2829861111111111,2.2145550892903256,0.3614457831325301
17,2.315672000249227,0.2782118055555556,2.3086192516180186,0.31841652323580033
18,2.3170782874027886,0.2821180555555556,2.1676438404963565,0.4044750430292599
19,2.279713978370031,0.30078125,2.1349585973299465,0.4113597246127367
20,2.2937664737304053,0.2894965277777778,2.1036436282671414,0.41824440619621345
21,2.2683196937044463,0.30859375,2.1867282482293935,0.35628227194492257
22,2.2403552532196045,0.3094618055555556,2.0472572720967808,0.4388984509466437
23,2.243426889181137,0.3111979166666667,2.0849880530284,0.43201376936316693
24,2.2461928154031434,0.3250868055555556,2.1815980764535756,0.3889845094664372
25,2.247249881426493,0.3255208333333333,2.0626945403906016,0.43717728055077454
26,2.194556847214699,0.3502604166666667,2.13338473209968,0.4440619621342513
27,2.197930857539177,0.3485243055555556,2.104374986428481,0.41824440619621345
28,2.1869952802856765,0.3515625,1.993118827159588,0.4664371772805508
29,2.16837640106678,0.3524305555555556,2.071367309643672,0.4612736660929432
30,2.1803197686870894,0.3441840277777778,2.083218812942505,0.4113597246127367
31,2.170557332535585,0.3506944444444444,2.018952433879559,0.45611015490533563
32,2.151919844249884,0.3697916666666667,1.9140726373745844,0.49225473321858865
33,2.1056282619635263,0.3849826388888889,1.8890641652620757,0.5111876075731497
34,2.1490367650985718,0.3676215277777778,2.1411760495259213,0.36316695352839934
35,2.1585450023412704,0.375,1.9414365612543547,0.47160068846815834
36,2.1412694255510965,0.3585069444444444,1.928118421481206,0.5008605851979346
37,2.0769160265723863,0.3993055555555556,2.0051673238094034,0.48709122203098104
38,2.1160503923892975,0.3832465277777778,1.9036999298976018,0.5232358003442341
39,2.07921559860309,0.3967013888888889,1.9901519188514123,0.5008605851979346
40,2.096128890911738,0.4006076388888889,1.9831033669985259,0.47676419965576594
41,2.0734522814551988,0.3888888888888889,1.9676074614891639,0.47676419965576594
42,2.055743729074796,0.4136284722222222,1.9822721206224883,0.4819277108433735
43,2.0493781566619873,0.4114583333333333,1.9751885120685284,0.4578313253012048
44,2.070095325509707,0.4079861111111111,1.8687232365975013,0.5370051635111877
45,2.0994908834497132,0.3936631944444444,1.9436783698888926,0.5146299483648882
